Сысолятина Елена Сергеевна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012579	29.05.1979	Всероссийская политическая партия «Гражданская Сила»	5Республика Бурятия	3	выдвинут	зарегистрирован
Ибрагимов Султанахмед	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012580	08.03.1975	Всероссийская политическая партия «Гражданская Сила»	6Республика Дагестан	1	выдвинут	зарегистрирован
Махмудов Гаджи Яхьяевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012581	20.02.1962	Всероссийская политическая партия «Гражданская Сила»	6Республика Дагестан	2	выдвинут	зарегистрирован
Тинамагомедов Исрапил Омарович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012582	10.05.1966	Всероссийская политическая партия «Гражданская Сила»	6Республика Дагестан	3	утративший статус выдвинутого кандидата	
Костоев Багаудин Ахметович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012583	14.08.1968	Всероссийская политическая партия «Гражданская Сила»	7Республика Ингушетия	1	выдвинут	зарегистрирован
Куриев Магомед-Башир Османович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012584	30.03.1966	Всероссийская политическая партия «Гражданская Сила»	7Республика Ингушетия	2	выдвинут	зарегистрирован
Муссаев Сергей Асламбекович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012585	21.09.1954	Всероссийская политическая партия «Гражданская Сила»	8Кабардино-Балкарская Республика	1	выдвинут	зарегистрирован
Тараев Игорь Владимирович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012586	01.07.1971	Всероссийская политическая партия «Гражданская Сила»	8Кабардино-Балкарская Республика	2	выдвинут	зарегистрирован
Унежев Вячеслав Уматгериевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012587	05.09.1959	Всероссийская политическая партия «Гражданская Сила»	8Кабардино-Балкарская Республика	3	выдвинут	зарегистрирован
Тихонова Елена Александровна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012588	11.07.1984	Всероссийская политическая партия «Гражданская Сила»	9Республика Калмыкия	1	выдвинут	зарегистрирован
Лафишев Анвар Заудинович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012589	13.07.1956	Всероссийская политическая партия «Гражданская Сила»	10Карачаево-Черкесская Республика	1	выдвинут	зарегистрирован
Бахитов Султан Умарович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012590	15.07.1950	Всероссийская политическая партия «Гражданская Сила»	10Карачаево-Черкесская Республика	2	выдвинут	зарегистрирован
Акбашев Аслан Борисович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012591	21.06.1958	Всероссийская политическая партия «Гражданская Сила»	10Карачаево-Черкесская Республика	3	выдвинут	зарегистрирован
Щегорцов Александр Александрович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012592	19.03.1956	Всероссийская политическая партия «Гражданская Сила»	11Республика Карелия, Мурманская область	1	выдвинут	зарегистрирован
Исаев Михаил Валерьевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012593	15.08.1979	Всероссийская политическая партия «Гражданская Сила»	11Республика Карелия, Мурманская область	2	выдвинут	зарегистрирован
Инюков Андрей Александрович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012594	21.03.1959	Всероссийская политическая партия «Гражданская Сила»	11Республика Карелия, Мурманская область	3	выдвинут	зарегистрирован
Басин Ефим Владимирович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012595	03.01.1940	Всероссийская политическая партия «Гражданская Сила»	12Республика Коми	1	выдвинут	зарегистрирован
Гуров Юрий Львович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012596	25.05.1955	Всероссийская политическая партия «Гражданская Сила»	13Республика Марий Эл, Чувашская Республика - Чувашия	1	выдвинут	зарегистрирован
Мишин Дмитрий Васильевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012597	17.06.1970	Всероссийская политическая партия «Гражданская Сила»	13Республика Марий Эл, Чувашская Республика - Чувашия	2	выдвинут	зарегистрирован
Егоров Андрей Анатольевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012598	14.06.1975	Всероссийская политическая партия «Гражданская Сила»	13Республика Марий Эл, Чувашская Республика - Чувашия	3	выдвинут	зарегистрирован
Алтынова Надежда Павловна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012599	28.09.1965	Всероссийская политическая партия «Гражданская Сила»	14Республика Мордовия	1	выдвинут	зарегистрирован
