"Всероссийская политическая партия "ПРАВОЕ ДЕЛО" 41.9808306709
"Политическая партия "Либерально-демократическая партия России" 35.2307692308
"Политическая партия "ПАТРИОТЫ РОССИИ" 48.6213592233
"Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО" 47.2219251337
"Политическая партия "Коммунистическая партия Российской Федерации" 49.6302521008
"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ" 49.510851419
"Политическая партия СПРАВЕДЛИВАЯ РОССИЯ" 46.7521367521
