Кобзон Иосиф Давыдович	100100031441147	74	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по информационной политике, информационным технологиям и связи		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441147	11.09.1937	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	23Забайкальский край	2	выдвинут	зарегистрирован
Яровая Ирина Анатольевна	100100031441152	45	f	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по конституционному законодательству и государственному строительству		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441152	17.10.1966	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	24Камчатский край	2	выдвинут	зарегистрирован
Хор Глеб Яковлевич	100100031441157	48	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, первый заместитель председателя Комитета Государственной Думы по бюджету и налогам		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441157	08.04.1963	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	25Краснодарский край	4	выдвинут	зарегистрирован	избр.
Езубов Алексей Петрович	100100031441162	63	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по аграрным вопросам		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441162	10.02.1948	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	25Краснодарский край	9	выдвинут	зарегистрирован	избр.
Скоробогатько Александр Иванович	100100031441163	44	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по гражданскому, уголовному, арбитражному и процессуальному законодательству		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441163	25.09.1967	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	25Краснодарский край	10	выдвинут	зарегистрирован	избр.
Глубоковская Эльмира Гусейновна	100100031441196	54	f	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по охране здоровья		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441196	20.04.1957	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	28Приморский край	4	выдвинут	зарегистрирован
Говорухин Станислав Сергеевич	100100031441202	75	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по информационной политике, информационным технологиям и связи		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441202	29.03.1936	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	29Ставропольский край	4	выдвинут	зарегистрирован	избр.
Шишкин Александр Геннадьевич	100100031441211	51	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по физической культуре и спорту		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441211	04.05.1960	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	30Хабаровский край, Еврейская автономная область	4	выдвинут	зарегистрирован
Янаков Эдуард Якимович	100100031441218	43	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по проблемам Севера и Дальнего Востока		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441218	15.09.1968	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	31Амурская область	5	выдвинут	зарегистрирован
Лебедев Олег Владимирович	100100031441231	47	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по промышленности		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441231	21.03.1964	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	34Белгородская область	4	выдвинут	зарегистрирован
Бочаров Андрей Иванович	100100031441235	42	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по делам ветеранов		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441235	14.10.1969	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	35Брянская область	1	выдвинут	зарегистрирован	избр.
Лахова Екатерина Филипповна	100100031441236	63	f	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по труду и социальной политике		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441236	26.05.1948	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	35Брянская область	2	выдвинут	зарегистрирован	избр.
Бабич Михаил Викторович	100100031441239	42	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по обороне		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441239	28.05.1969	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	36Владимирская область	1	выдвинут	зарегистрирован	избр.
Жолобов Олег Владимирович	100100031441252	50	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по информационной политике, информационным технологиям и связи		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441252	06.10.1961	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	37Волгоградская область	6	выдвинут	зарегистрирован
Муслимов Ильяз Булатович	100100031441254	48	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по информационной политике, информационным технологиям и связи		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441254	14.02.1963	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	37Волгоградская область	8	выдвинут	зарегистрирован
Абрамов Виктор Семенович	100100031441260	55	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, первый заместитель председателя Комитета Государственной Думы по финансовому рынку		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441260	18.08.1956	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	38Вологодская область	4	выдвинут	зарегистрирован
Карелова Галина Николаевна	100100031441263	61	f	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по бюджету и налогам		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441263	29.06.1950	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	39Воронежская область	2	выдвинут	зарегистрирован	избр.
Исаев Юрий Олегович	100100031441267	39	m	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, заместитель председателя Комитета Государственной Думы по финансовому рынку		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441267	01.01.1972	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	39Воронежская область	6	выдвинут	зарегистрирован
Бурыкина Наталья Викторовна	100100031441288	51	f	депутат госдумы	Государственная Дума Федерального Собрания Российской Федерации	депутат, член Комитета Государственной Думы по бюджету и налогам		http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100028713299&vrn=100100028713299&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100031441288	20.08.1960	"Всероссийская политическая партия "ЕДИНАЯ РОССИЯ"	город Москва	42Калининградская область	4	выдвинут	зарегистрирован
